;;;Rg;Identité;Total;1;2;3;4;5;6;F;MG;MF;courses par catégorie d'âge;catégorie d'âge;CHPT DPT route;ROUTE;CHPT DPT clm;CLM INDIV;CHPT DPT cyclo-cross;CYCLO-CROSS;% route;% CLM;% CYCLO-CROSS;;;;;;;;;;;;;;
non utilisé;non utilisé;24000,0761;1.;71-MICHAUDET Jean;24;0;0;0;0;21;0;0;0;0;3;SA;1;17;0;6;0;0;75,00;25,00;0,00;;;;;;;;;;;;;;
non utilisé;non utilisé;23000,0994;2.;71-DUCOTE Laurine(F);23;0;0;0;0;0;0;0;0;18;5;M;1;14;0;4;1;3;65,22;17,39;17,39;;;;;;;;;;;;;;
non utilisé;non utilisé;23000,0742;3.;71-MORNAT Mathilde;23;0;0;0;0;0;0;0;0;23;0;M;1;18;0;4;0;0;82,61;17,39;0,00;;;;;;;;;;;;;;
non utilisé;non utilisé;21000,0996;4.;71-DUCOTE Jean-Michel;21;0;0;0;17;2;0;0;0;0;2;V;1;14;0;5;0;1;71,43;23,81;4,76;;;;;;;;;;;;;;
non utilisé;non utilisé;21000,0624;5.;71-SALOMON Timéo;21;0;0;0;0;0;0;0;18;0;3;M;1;15;0;3;1;1;76,19;14,29;9,52;;;;;;;;;;;;;;
non utilisé;non utilisé;20000,1121;6.;71-BRUILLOT Dominique;20;0;0;0;0;18;0;0;0;0;2;A;1;14;0;5;0;0;75,00;25,00;0,00;;;;;;;;;;;;;;
non utilisé;non utilisé;20000,0861;7.;71-HURET Eric;20;0;9;10;0;0;0;0;0;0;1;SV;1;19;0;0;0;0;100,00;0,00;0,00;;;;;;;;;;;;;;
non utilisé;non utilisé;20000,0735;8.;71-MURTIN François;20;0;0;0;0;14;0;0;0;0;6;A;1;13;0;0;1;5;70,00;0,00;30,00;;;;;;;;;;;;;;
non utilisé;non utilisé;20000,0665;9.;71-RABUT Eric;20;0;0;0;0;19;0;0;0;0;1;A;1;18;0;1;0;0;95,00;5,00;0,00;;;;;;;;;;;;;;
non utilisé;non utilisé;20000,0569;10.;71-ZOCCOLANTE David;20;0;19;0;0;0;0;0;0;0;1;V;1;14;0;5;0;0;75,00;25,00;0,00;;;;;;;;;;;;;;
